id,word,pre,vowel,fol
135,zaɪz,z,aɪ,z
136,tɔdz,t,ɔ,dz
137,zeɪz,z,eɪ,z
138,nɔdz,n,ɔ,dz
139,neɪz,n,eɪ,z
140,sædz,s,æ,dz
141,snædz,sn,æ,dz
142, adz, ,a,dz
143,nʊdz,n,ʊ,dz
144,tɪdz,t,ɪ,dz
145,tʊd,t,ʊ,d
146,snud,sn,u,d
147,næd,n,æ,d
148,staɪdz,st,aɪ,dz
149, ɪd, ,ɪ,d
150,zæd,z,æ,d
151,snɪdz,sn,ɪ,dz
152,zad,z,a,d
153,stuz,st,u,z
154, ɔɪd, ,ɔɪ,d
155,sædz,s,æ,dz
156,naʊdz,n,aʊ,dz
157,nɛdz,n,ɛ,dz
158,snadz,sn,a,dz
159,stæd,st,æ,d
160,nɪz,n,ɪ,z
161,naʊdz,n,aʊ,dz
162,staɪz,st,aɪ,z
163,hɔd,h,ɔ,d
164,zaʊz,z,aʊ,z
165,tadz,t,a,dz
166,snʊz,sn,ʊ,z
167,dɔɪd,d,ɔɪ,d
168, aʊdz, ,aʊ,dz
169,snɔɪd,sn,ɔɪ,d
170,steɪz,st,eɪ,z
171,toʊd,t,oʊ,d
172,nɛdz,n,ɛ,dz
173,sud,s,u,d
174,haʊz,h,aʊ,z
175,studz,st,u,dz
176,nɔɪdz,n,ɔɪ,dz
177,zædz,z,æ,dz
178,snɛdz,sn,ɛ,dz
179,zaʊd,z,aʊ,d
180,hɔɪdz,h,ɔɪ,dz
181, iz, ,i,z
182,stoʊz,st,oʊ,z
183,hudz,h,u,dz
184,sɛz,s,ɛ,z
185,tʊdz,t,ʊ,dz
186,snaʊdz,sn,aʊ,dz
187,sɪd,s,ɪ,d
188,tɛd,t,ɛ,d
189,stud,st,u,d
190, ɪdz, ,ɪ,dz
191,snɔd,sn,ɔ,d
192,sæz,s,æ,z
193, uz, ,u,z
194,stædz,st,æ,dz
195,had,h,a,d
196, ɛd, ,ɛ,d
197,saz,s,a,z
198,zeɪdz,z,eɪ,dz
199,zadz,z,a,dz
200,tɔɪdz,t,ɔɪ,dz
201,zuz,z,u,z
202,hoʊz,h,oʊ,z
203,teɪz,t,eɪ,z
204,snɔdz,sn,ɔ,dz
205,doʊz,d,oʊ,z
206,hædz,h,æ,dz
207,snad,sn,a,d
208,hʊdz,h,ʊ,dz
209,snoʊdz,sn,oʊ,dz
210,taʊdz,t,aʊ,dz
211,nʊz,n,ʊ,z
212,dudz,d,u,dz
213,nid,n,i,d
214,nɔdz,n,ɔ,dz
215,nud,n,u,d
216,zɔdz,z,ɔ,dz
217, æd, ,æ,d
218,dɪd,d,ɪ,d
219,stɔd,st,ɔ,d
220,dɪz,d,ɪ,z
221,nidz,n,i,dz
222,nʊd,n,ʊ,d
223,sɪdz,s,ɪ,dz
224,zeɪd,z,eɪ,d
225,tædz,t,æ,dz
226, æz, ,æ,z
227, aʊd, ,aʊ,d
228,snɛz,sn,ɛ,z
229,zuz,z,u,z
230,stiz,st,i,z
231,dɔdz,d,ɔ,dz
232,heɪd,h,eɪ,d
233,tɔz,t,ɔ,z
234, ɔdz, ,ɔ,dz
235,dɔd,d,ɔ,d
236,nuz,n,u,z
237,sɔdz,s,ɔ,dz
238,sɪz,s,ɪ,z
239,haʊdz,h,aʊ,dz
240,neɪd,n,eɪ,d
241, ɛd, ,ɛ,d
242,næz,n,æ,z
243,naɪd,n,aɪ,d
244,heɪz,h,eɪ,z
245,steɪz,st,eɪ,z
246,taɪd,t,aɪ,d
247,sɛdz,s,ɛ,dz
248,stiz,st,i,z
249,hɔɪz,h,ɔɪ,z
250,stɛd,st,ɛ,d
251,snaɪz,sn,aɪ,z
252,snɔɪd,sn,ɔɪ,d
253, idz, ,i,dz
254,snad,sn,a,d
255,stud,st,u,d
256,neɪdz,n,eɪ,dz
257,zæz,z,æ,z
258,haʊz,h,aʊ,z
259,hædz,h,æ,dz
260,daɪz,d,aɪ,z
261, ædz, ,æ,dz
262,dɔɪz,d,ɔɪ,z
263,soʊd,s,oʊ,d
264,sneɪz,sn,eɪ,z
265,zɔz,z,ɔ,z
266,dæz,d,æ,z
267,hɔɪd,h,ɔɪ,d
268,deɪdz,d,eɪ,dz
269,naʊz,n,aʊ,z
270,neɪd,n,eɪ,d
271,zaɪd,z,aɪ,d
272, æz, ,æ,z
273,tid,t,i,d
274,toʊdz,t,oʊ,dz
275,sudz,s,u,dz
276,snʊdz,sn,ʊ,dz
277, eɪd, ,eɪ,d
278,suz,s,u,z
279,naɪdz,n,aɪ,dz
280,huz,h,u,z
281,zɔɪdz,z,ɔɪ,dz
282,zaʊd,z,aʊ,d
283,hæd,h,æ,d
284, ɔɪz, ,ɔɪ,z
285,daɪdz,d,aɪ,dz
286,suz,s,u,z
287,zaʊd,z,aʊ,d
288,naɪdz,n,aɪ,dz
289,zɪd,z,ɪ,d
290,soʊz,s,oʊ,z
291,hæz,h,æ,z
292,dɛdz,d,ɛ,dz
293,daʊz,d,aʊ,z
294,stɔdz,st,ɔ,dz
295,nid,n,i,d
296,hʊz,h,ʊ,z
297,stɛd,st,ɛ,d
298,stæz,st,æ,z
299,tɔɪz,t,ɔɪ,z
300,nud,n,u,d
301, eɪz, ,eɪ,z
302,stɔd,st,ɔ,d
303,staɪdz,st,aɪ,dz
304,toʊz,t,oʊ,z
305,taɪd,t,aɪ,d
306,tudz,t,u,dz
307, ɛd, ,ɛ,d
308,zaɪdz,z,aɪ,dz
309,nædz,n,æ,dz
310,sɔdz,s,ɔ,dz
311,dɛdz,d,ɛ,dz
312,tɪz,t,ɪ,z
313, idz, ,i,dz
314,zoʊd,z,oʊ,d
315,snaɪz,sn,aɪ,z
316,zɔɪdz,z,ɔɪ,dz
317,dad,d,a,d
318,zidz,z,i,dz
319, udz, ,u,dz
320,sadz,s,a,dz
321,hadz,h,a,dz
322,sɔd,s,ɔ,d
323,tɛdz,t,ɛ,dz
324,tuz,t,u,z
325,stadz,st,a,dz
326, aʊz, ,aʊ,z
327,zædz,z,æ,dz
328,saʊz,s,aʊ,z
329,sud,s,u,d
330,hɔdz,h,ɔ,dz
331, adz, ,a,dz
332,zʊz,z,ʊ,z
333,snɛz,sn,ɛ,z
334,stoʊz,st,oʊ,z
335,stɔz,st,ɔ,z
336,toʊd,t,oʊ,d
337,dɪd,d,ɪ,d
338,steɪd,st,eɪ,d
339, eɪd, ,eɪ,d
340,dʊd,d,ʊ,d
341,haz,h,a,z
342,haz,h,a,z
343,zʊz,z,ʊ,z
344, aɪdz, ,aɪ,dz
345,doʊz,d,oʊ,z
346, oʊz, ,oʊ,z
347,staz,st,a,z
348,staʊd,st,aʊ,d
349,stoʊd,st,oʊ,d
350,zaʊz,z,aʊ,z
351,hɛdz,h,ɛ,dz
352,sɛd,s,ɛ,d
353,naɪz,n,aɪ,z
354,daɪd,d,aɪ,d
355,saɪdz,s,aɪ,dz
356,dʊd,d,ʊ,d
357,sneɪdz,sn,eɪ,dz
358,tʊd,t,ʊ,d
359,hɔɪz,h,ɔɪ,z
360,haʊd,h,aʊ,d
361,nɔɪz,n,ɔɪ,z
362,staɪd,st,aɪ,d
363,snæd,sn,æ,d
364,tɔz,t,ɔ,z
365,sæd,s,æ,d
366,diz,d,i,z
367,zeɪdz,z,eɪ,dz
368,sad,s,a,d
369,zɛz,z,ɛ,z
370,saʊd,s,aʊ,d
371,tɔɪd,t,ɔɪ,d
372,sudz,s,u,dz
373,stʊdz,st,ʊ,dz
374,nɔɪd,n,ɔɪ,d
375,sɔɪd,s,ɔɪ,d
376,daʊdz,d,aʊ,dz
377, ɔd, ,ɔ,d
378,zɛdz,z,ɛ,dz
379, eɪdz, ,eɪ,dz
380,noʊdz,n,oʊ,dz
381,daɪdz,d,aɪ,dz
382,saʊdz,s,aʊ,dz
383,haɪd,h,aɪ,d
384,sniz,sn,i,z
385,sudz,s,u,dz
386, ɔɪdz, ,ɔɪ,dz
387,saʊd,s,aʊ,d
388,hoʊz,h,oʊ,z
389,dɔd,d,ɔ,d
390,dadz,d,a,dz
391,zʊdz,z,ʊ,dz
392,did,d,i,d
393, eɪdz, ,eɪ,dz
394,nadz,n,a,dz
395,stɔɪz,st,ɔɪ,z
396,stoʊdz,st,oʊ,dz
397,tud,t,u,d
398,stʊz,st,ʊ,z
399,nɪdz,n,ɪ,dz
400,teɪd,t,eɪ,d
401,zɔz,z,ɔ,z
402,stæd,st,æ,d
403,sædz,s,æ,dz
404,tɛd,t,ɛ,d
405, uz, ,u,z
406,zoʊdz,z,oʊ,dz
407,nɔɪd,n,ɔɪ,d
408,nɪd,n,ɪ,d
409,dɔɪdz,d,ɔɪ,dz
410,saʊdz,s,aʊ,dz
411,steɪd,st,eɪ,d
412,dɔɪd,d,ɔɪ,d
413,sɔz,s,ɔ,z
414,sʊz,s,ʊ,z
415,hʊd,h,ʊ,d
416,tidz,t,i,dz
417,sɔz,s,ɔ,z
418,hoʊdz,h,oʊ,dz
419,neɪdz,n,eɪ,dz
420,hiz,h,i,z
421,daz,d,a,z
422,tʊz,t,ʊ,z
423,sadz,s,a,dz
424,sneɪz,sn,eɪ,z
425,snaɪdz,sn,aɪ,dz
426,dud,d,u,d
427,zʊdz,z,ʊ,dz
428, ɪz, ,ɪ,z
429, ʊdz, ,ʊ,dz
430,sæz,s,æ,z
431,studz,st,u,dz
432,sʊd,s,ʊ,d
433,zɛdz,z,ɛ,dz
434,hɔd,h,ɔ,d
435,dɔɪdz,d,ɔɪ,dz
436,dɔɪz,d,ɔɪ,z
437,staɪd,st,aɪ,d
438,stidz,st,i,dz
439,zæd,z,æ,d
440,zaz,z,a,z
441,dɪdz,d,ɪ,dz
442,tidz,t,i,dz
443,tɪdz,t,ɪ,dz
444,zɔɪz,z,ɔɪ,z
445,sid,s,i,d
446,naʊz,n,aʊ,z
447,taɪdz,t,aɪ,dz
448, eɪd, ,eɪ,d
449, az, ,a,z
450,stɪd,st,ɪ,d
451,naɪd,n,aɪ,d
452,nid,n,i,d
453,dɔɪdz,d,ɔɪ,dz
454,zaʊdz,z,aʊ,dz
455,sɔɪz,s,ɔɪ,z
456,dʊd,d,ʊ,d
457,zɪdz,z,ɪ,dz
458,nidz,n,i,dz
459,sɛd,s,ɛ,d
460,nɪd,n,ɪ,d
461,hɔɪd,h,ɔɪ,d
462,sneɪd,sn,eɪ,d
463,tædz,t,æ,dz
464,dɛz,d,ɛ,z
465,snʊd,sn,ʊ,d
466, oʊd, ,oʊ,d
467,tɔd,t,ɔ,d
468,sneɪz,sn,eɪ,z
469,tɪz,t,ɪ,z
470,deɪd,d,eɪ,d
471,stad,st,a,d
472,zɪd,z,ɪ,d
473,dɔdz,d,ɔ,dz
474,nɔɪd,n,ɔɪ,d
475,stad,st,a,d
476, aɪz, ,aɪ,z
477,steɪdz,st,eɪ,dz
478,daʊd,d,aʊ,d
479,zaʊdz,z,aʊ,dz
480,snɔɪdz,sn,ɔɪ,dz
481,taz,t,a,z
482,diz,d,i,z
483,zɔd,z,ɔ,d
484,hɪdz,h,ɪ,dz
485,nadz,n,a,dz
486,dɛz,d,ɛ,z
487,hidz,h,i,dz
488,tæz,t,æ,z
489,sniz,sn,i,z
490,nɔz,n,ɔ,z
491, aɪd, ,aɪ,d
492,hud,h,u,d
493,snidz,sn,i,dz
494,snɔd,sn,ɔ,d
495,tɛz,t,ɛ,z
496,hɪdz,h,ɪ,dz
497,siz,s,i,z
498, oʊdz, ,oʊ,dz
499,didz,d,i,dz
500,teɪd,t,eɪ,d
501,stæz,st,æ,z
502,nɔɪdz,n,ɔɪ,dz
503,haɪdz,h,aɪ,dz
504,tɪd,t,ɪ,d
505,teɪdz,t,eɪ,dz
506,snid,sn,i,d
507,tæz,t,æ,z
508,tud,t,u,d
509,snæd,sn,æ,d
510, ɔɪdz, ,ɔɪ,dz
511,steɪz,st,eɪ,z
512,sɔɪd,s,ɔɪ,d
513,doʊd,d,oʊ,d
514,tiz,t,i,z
515,sʊd,s,ʊ,d
516,sad,s,a,d
517,snædz,sn,æ,dz
518,hoʊd,h,oʊ,d
519,had,h,a,d
520,nadz,n,a,dz
521,snaʊd,sn,aʊ,d
522,zoʊd,z,oʊ,d
523,sɪdz,s,ɪ,dz
524,nɔɪdz,n,ɔɪ,dz
525,zɛd,z,ɛ,d
526, ud, ,u,d
527,hiz,h,i,z
528,seɪdz,s,eɪ,dz
529,stædz,st,æ,dz
530,snɔɪdz,sn,ɔɪ,dz
531,neɪdz,n,eɪ,dz
532,dɔz,d,ɔ,z
533, eɪz, ,eɪ,z
534,saz,s,a,z
535,hoʊdz,h,oʊ,dz
536,soʊz,s,oʊ,z
537,dɛd,d,ɛ,d
538,hɛd,h,ɛ,d
539,soʊd,s,oʊ,d
540,tudz,t,u,dz
541,zɪdz,z,ɪ,dz
542,niz,n,i,z
543,zad,z,a,d
544, ɪd, ,ɪ,d
545,dɪz,d,ɪ,z
546,heɪdz,h,eɪ,dz
547,dæz,d,æ,z
548,daɪd,d,aɪ,d
549,snaʊdz,sn,aʊ,dz
550,snudz,sn,u,dz
551,dɔɪz,d,ɔɪ,z
552,snɪz,sn,ɪ,z
553,zoʊz,z,oʊ,z
554,stoʊdz,st,oʊ,dz
555,seɪz,s,eɪ,z
556,daʊdz,d,aʊ,dz
557, ɔdz, ,ɔ,dz
558, æd, ,æ,d
559,staʊdz,st,aʊ,dz
560,neɪz,n,eɪ,z
561,staʊz,st,aʊ,z
562,tɔɪz,t,ɔɪ,z
563,tɪz,t,ɪ,z
564,zʊdz,z,ʊ,dz
565,saʊdz,s,aʊ,dz
566,stoʊd,st,oʊ,d
567,snaɪdz,sn,aɪ,dz
568,haɪd,h,aɪ,d
569,nuz,n,u,z
570,sɛz,s,ɛ,z
571,saɪd,s,aɪ,d
572,stuz,st,u,z
573,zɔd,z,ɔ,d
574,taɪdz,t,aɪ,dz
575,hudz,h,u,dz
576,daɪz,d,aɪ,z
577,sneɪdz,sn,eɪ,dz
578,snaʊz,sn,aʊ,z
579,seɪz,s,eɪ,z
580,studz,st,u,dz
581,sadz,s,a,dz
582,snadz,sn,a,dz
583,sidz,s,i,dz
584,zæz,z,æ,z
585,snæd,sn,æ,d
586,doʊdz,d,oʊ,dz
587,hid,h,i,d
588,hæz,h,æ,z
589,tɛdz,t,ɛ,dz
590,stɔɪdz,st,ɔɪ,dz
591,dud,d,u,d
592,dɛdz,d,ɛ,dz
593,dædz,d,æ,dz
594,snɛdz,sn,ɛ,dz
595,naz,n,a,z
596,tɔɪdz,t,ɔɪ,dz
597,zæd,z,æ,d
598,hadz,h,a,dz
599,hɔɪd,h,ɔɪ,d
600,tʊz,t,ʊ,z
601,sɛd,s,ɛ,d
602,had,h,a,d
603,stæd,st,æ,d
604,hidz,h,i,dz
605,hɛz,h,ɛ,z
606,siz,s,i,z
607,zidz,z,i,dz
608,stɛz,st,ɛ,z
609,sɔɪdz,s,ɔɪ,dz
610,deɪz,d,eɪ,z
611,snʊz,sn,ʊ,z
612,seɪd,s,eɪ,d
613,snuz,sn,u,z
614,zɛd,z,ɛ,d
615,doʊd,d,oʊ,d
616, oʊdz, ,oʊ,dz
617,suz,s,u,z
618,sid,s,i,d
619,nɪz,n,ɪ,z
620,stɪz,st,ɪ,z
621, aʊd, ,aʊ,d
622,steɪd,st,eɪ,d
623,stidz,st,i,dz
624,snoʊdz,sn,oʊ,dz
625, oʊz, ,oʊ,z
626,haʊdz,h,aʊ,dz
627,sɔɪdz,s,ɔɪ,dz
628,nɪd,n,ɪ,d
629,snʊdz,sn,ʊ,dz
630,tʊdz,t,ʊ,dz
631,stɪz,st,ɪ,z
632, ʊz, ,ʊ,z
633,naɪdz,n,aɪ,dz
634,teɪdz,t,eɪ,dz
635,hʊz,h,ʊ,z
636,zɪz,z,ɪ,z
637,snɔɪz,sn,ɔɪ,z
638,taʊdz,t,aʊ,dz
639,teɪz,t,eɪ,z
640,tɔɪdz,t,ɔɪ,dz
641,dɔɪd,d,ɔɪ,d
642,nɛd,n,ɛ,d
643, eɪz, ,eɪ,z
644,deɪdz,d,eɪ,dz
645,deɪd,d,eɪ,d
646,snaʊd,sn,aʊ,d
647,taʊd,t,aʊ,d
648,stɔz,st,ɔ,z
649,snɔz,sn,ɔ,z
650,næd,n,æ,d
651,saɪd,s,aɪ,d
652,zɔɪz,z,ɔɪ,z
653,hædz,h,æ,dz
654,staʊdz,st,aʊ,dz
655, ɛz, ,ɛ,z
656,stɛdz,st,ɛ,dz
657,zud,z,u,d
658,sɔdz,s,ɔ,dz
659,nædz,n,æ,dz
660,snoʊz,sn,oʊ,z
661, ʊdz, ,ʊ,dz
662,tɛdz,t,ɛ,dz
663,nudz,n,u,dz
664,zaɪd,z,aɪ,d
665, ɛdz, ,ɛ,dz
666,snid,sn,i,d
667,snaz,sn,a,z
668,zaz,z,a,z
669,snɔɪz,sn,ɔɪ,z
670,haʊd,h,aʊ,d
671, ædz, ,æ,dz
672,tʊd,t,ʊ,d
673, ɔdz, ,ɔ,dz
674, az, ,a,z
675,siz,s,i,z
676,stɪdz,st,ɪ,dz
677,saɪd,s,aɪ,d
678,stɪz,st,ɪ,z
679,taʊz,t,aʊ,z
680,hɔz,h,ɔ,z
681,dɛz,d,ɛ,z
682,snaɪdz,sn,aɪ,dz
683,zaz,z,a,z
684, ɔɪz, ,ɔɪ,z
685,hæd,h,æ,d
686,sid,s,i,d
687,dɪdz,d,ɪ,dz
688,taʊz,t,aʊ,z
689,doʊd,d,oʊ,d
690,neɪd,n,eɪ,d
691,snidz,sn,i,dz
692,sʊz,s,ʊ,z
693,dʊdz,d,ʊ,dz
694,daʊd,d,aʊ,d
695,saɪz,s,aɪ,z
696,nɛd,n,ɛ,d
697,haʊd,h,aʊ,d
698,stɛz,st,ɛ,z
699,nad,n,a,d
700,tad,t,a,d
701,stid,st,i,d
702,nɔd,n,ɔ,d
703,snoʊd,sn,oʊ,d
704,snɛz,sn,ɛ,z
705,hudz,h,u,dz
706,tɔɪz,t,ɔɪ,z
707,tɔdz,t,ɔ,dz
708,snɛd,sn,ɛ,d
709,dɪdz,d,ɪ,dz
710,zudz,z,u,dz
711,zoʊdz,z,oʊ,dz
712,sad,s,a,d
713,soʊdz,s,oʊ,dz
714,sɔɪdz,s,ɔɪ,dz
715,did,d,i,d
716,naʊd,n,aʊ,d
717,hoʊz,h,oʊ,z
718,stɔdz,st,ɔ,dz
719,heɪz,h,eɪ,z
720,soʊdz,s,oʊ,dz
721,toʊdz,t,oʊ,dz
722,zɪd,z,ɪ,d
723, ɛz, ,ɛ,z
724,sidz,s,i,dz
725,snadz,sn,a,dz
726,didz,d,i,dz
727,diz,d,i,z
728,stæz,st,æ,z
729,sɪz,s,ɪ,z
730,nad,n,a,d
731,zaɪz,z,aɪ,z
732,noʊd,n,oʊ,d
733,staɪz,st,aɪ,z
734, ædz, ,æ,dz
735,snɪd,sn,ɪ,d
736,sɪz,s,ɪ,z
737,zɛdz,z,ɛ,dz
738,stɪd,st,ɪ,d
739,taʊz,t,aʊ,z
740,zaɪdz,z,aɪ,dz
741,toʊd,t,oʊ,d
742,zeɪd,z,eɪ,d
743,noʊd,n,oʊ,d
744,nidz,n,i,dz
745,snaz,sn,a,z
746,hud,h,u,d
747,dʊz,d,ʊ,z
748,stid,st,i,d
749,stʊd,st,ʊ,d
750,tud,t,u,d
751,niz,n,i,z
752,sɛdz,s,ɛ,dz
753,hɛd,h,ɛ,d
754,snɔɪd,sn,ɔɪ,d
755,sɛz,s,ɛ,z
756,stɔɪd,st,ɔɪ,d
757,daz,d,a,z
758,tiz,t,i,z
759,stɪd,st,ɪ,d
760,saɪz,s,aɪ,z
761,snaɪz,sn,aɪ,z
762,stʊdz,st,ʊ,dz
763,sæz,s,æ,z
764,naz,n,a,z
765,tɔd,t,ɔ,d
766,sæd,s,æ,d
767, az, ,a,z
768,snaʊz,sn,aʊ,z
769,snid,sn,i,d
770,stoʊz,st,oʊ,z
771,stɔɪdz,st,ɔɪ,dz
772,soʊd,s,oʊ,d
773,taz,t,a,z
774,dɪz,d,ɪ,z
775,tɛz,t,ɛ,z
776,dɛd,d,ɛ,d
777,snʊd,sn,ʊ,d
778,haɪz,h,aɪ,z
779,zɔɪd,z,ɔɪ,d
780,zad,z,a,d
781, ɛdz, ,ɛ,dz
782,tuz,t,u,z
783,stɔɪz,st,ɔɪ,z
784,zɔɪz,z,ɔɪ,z
785,nud,n,u,d
786,hɔz,h,ɔ,z
787, ɔz, ,ɔ,z
788,ziz,z,i,z
789,hɛz,h,ɛ,z
790,saʊd,s,aʊ,d
791,zɛz,z,ɛ,z
792,stɔd,st,ɔ,d
793,teɪdz,t,eɪ,dz
794,tid,t,i,d
795,zɛd,z,ɛ,d
796,dʊdz,d,ʊ,dz
797,snɔɪz,sn,ɔɪ,z
798,zʊd,z,ʊ,d
799, ɛdz, ,ɛ,dz
800,stiz,st,i,z
801,næz,n,æ,z
802,sɪdz,s,ɪ,dz
803,zud,z,u,d
804, oʊz, ,oʊ,z
805,hɔz,h,ɔ,z
806,zɪz,z,ɪ,z
807,stɪdz,st,ɪ,dz
808,haɪdz,h,aɪ,dz
809,haɪz,h,aɪ,z
810,snudz,sn,u,dz
811,noʊd,n,oʊ,d
812,duz,d,u,z
813,snɪd,sn,ɪ,d
814,nudz,n,u,dz
815,hɪd,h,ɪ,d
816,haɪdz,h,aɪ,dz
817,huz,h,u,z
818,tadz,t,a,dz
819,hɔdz,h,ɔ,dz
820,nɔd,n,ɔ,d
821, ʊd, ,ʊ,d
822,deɪd,d,eɪ,d
823,stidz,st,i,dz
824, aɪdz, ,aɪ,dz
825,hɪz,h,ɪ,z
826,naɪd,n,aɪ,d
827,daz,d,a,z
828,sɔd,s,ɔ,d
829,zaɪdz,z,aɪ,dz
830,duz,d,u,z
831, æd, ,æ,d
832,sɪd,s,ɪ,d
833,did,d,i,d
834,zoʊz,z,oʊ,z
835,sɛdz,s,ɛ,dz
836,zɔɪdz,z,ɔɪ,dz
837,saɪz,s,aɪ,z
838,tad,t,a,d
839,hɔdz,h,ɔ,dz
840,snɔd,sn,ɔ,d
841,tæd,t,æ,d
842,snɛd,sn,ɛ,d
843,haɪd,h,aɪ,d
844,nʊdz,n,ʊ,dz
845,stædz,st,æ,dz
846,zud,z,u,d
847,noʊz,n,oʊ,z
848,nɔz,n,ɔ,z
849, aɪd, ,aɪ,d
850,snaɪd,sn,aɪ,d
851,taʊdz,t,aʊ,dz
852,saɪdz,s,aɪ,dz
853,dʊdz,d,ʊ,dz
854,snaz,sn,a,z
855, ɪdz, ,ɪ,dz
856,staɪz,st,aɪ,z
857,nudz,n,u,dz
858,niz,n,i,z
859,nɪdz,n,ɪ,dz
860,snaʊdz,sn,aʊ,dz
861, oʊd, ,oʊ,d
862,næd,n,æ,d
863,taɪz,t,aɪ,z
864,staʊz,st,aʊ,z
865,hoʊd,h,oʊ,d
866,stɛd,st,ɛ,d
867,staʊz,st,aʊ,z
868, udz, ,u,dz
869,zadz,z,a,dz
870,staz,st,a,z
871,daɪz,d,aɪ,z
872,snɛd,sn,ɛ,d
873,tɪdz,t,ɪ,dz
874,tæd,t,æ,d
875,tuz,t,u,z
876,tad,t,a,d
877,hɪd,h,ɪ,d
878,sɪd,s,ɪ,d
879,hʊd,h,ʊ,d
880,tʊdz,t,ʊ,dz
881,snoʊd,sn,oʊ,d
882,snʊz,sn,ʊ,z
883,tɔz,t,ɔ,z
884, ʊdz, ,ʊ,dz
885,sɔɪz,s,ɔɪ,z
886, udz, ,u,dz
887,zoʊdz,z,oʊ,dz
888,nɪz,n,ɪ,z
889,zɛz,z,ɛ,z
